tf	n_autosomal_sites	n_written	status
ZKSCAN8	17032	10000	kept
ZNF10	2378	0	dropped: <10000 autosomal sites
ZNF101	2266	0	dropped: <10000 autosomal sites
ZNF112	128	0	dropped: <10000 autosomal sites
ZNF114	72	0	dropped: <10000 autosomal sites
ZNF121	30693	10000	kept
ZNF132	19	0	dropped: <10000 autosomal sites
ZNF133	2372	0	dropped: <10000 autosomal sites
ZNF134	3840	0	dropped: <10000 autosomal sites
ZNF136	306	0	dropped: <10000 autosomal sites
ZNF138	28	0	dropped: <10000 autosomal sites
ZNF140	4615	0	dropped: <10000 autosomal sites
ZNF143	226077	10000	kept
ZNF146	17991	10000	kept
ZNF148	21261	10000	kept
ZNF157	952	0	dropped: <10000 autosomal sites
ZNF16	505	0	dropped: <10000 autosomal sites
ZNF169	133	0	dropped: <10000 autosomal sites
ZNF174	9	0	dropped: <10000 autosomal sites
ZNF175	3861	0	dropped: <10000 autosomal sites
ZNF18	11875	10000	kept
ZNF184	7203	0	dropped: <10000 autosomal sites
ZNF189	5946	0	dropped: <10000 autosomal sites
ZNF19	62	0	dropped: <10000 autosomal sites
ZNF197	2105	0	dropped: <10000 autosomal sites
ZNF2	2114	0	dropped: <10000 autosomal sites
ZNF20	35	0	dropped: <10000 autosomal sites
ZNF202	570	0	dropped: <10000 autosomal sites
ZNF205	5890	0	dropped: <10000 autosomal sites
ZNF211	191	0	dropped: <10000 autosomal sites
ZNF213	1529	0	dropped: <10000 autosomal sites
ZNF214	253	0	dropped: <10000 autosomal sites
ZNF217	14794	10000	kept
ZNF22	14534	10000	kept
ZNF223	501	0	dropped: <10000 autosomal sites
ZNF224	2740	0	dropped: <10000 autosomal sites
ZNF23	136	0	dropped: <10000 autosomal sites
ZNF236	611	0	dropped: <10000 autosomal sites
ZNF239	221	0	dropped: <10000 autosomal sites
ZNF24	19090	10000	kept
ZNF248	127	0	dropped: <10000 autosomal sites
ZNF250	1099	0	dropped: <10000 autosomal sites
ZNF257	1258	0	dropped: <10000 autosomal sites
ZNF26	557	0	dropped: <10000 autosomal sites
ZNF260	3675	0	dropped: <10000 autosomal sites
ZNF263	124566	10000	kept
ZNF264	56704	10000	kept
ZNF266	4970	0	dropped: <10000 autosomal sites
ZNF274	11984	10000	kept
ZNF280A	12145	10000	kept
ZNF280D	6498	0	dropped: <10000 autosomal sites
ZNF281	5527	0	dropped: <10000 autosomal sites
ZNF282	1305	0	dropped: <10000 autosomal sites
ZNF292	332	0	dropped: <10000 autosomal sites
ZNF3	10367	10000	kept
ZNF30	3566	0	dropped: <10000 autosomal sites
ZNF300	87	0	dropped: <10000 autosomal sites
ZNF302	51	0	dropped: <10000 autosomal sites
ZNF311	39	0	dropped: <10000 autosomal sites
ZNF316	53228	10000	kept
ZNF317	25600	10000	kept
ZNF320	6313	0	dropped: <10000 autosomal sites
ZNF322	3082	0	dropped: <10000 autosomal sites
ZNF324	8031	0	dropped: <10000 autosomal sites
ZNF329	1542	0	dropped: <10000 autosomal sites
ZNF331	2269	0	dropped: <10000 autosomal sites
ZNF335	11360	10000	kept
ZNF33A	2437	0	dropped: <10000 autosomal sites
ZNF34	4991	0	dropped: <10000 autosomal sites
ZNF341	40344	10000	kept
ZNF35	35063	10000	kept
ZNF350	2552	0	dropped: <10000 autosomal sites
ZNF354A	540	0	dropped: <10000 autosomal sites
ZNF354B	349	0	dropped: <10000 autosomal sites
ZNF354C	106	0	dropped: <10000 autosomal sites
ZNF362	2994	0	dropped: <10000 autosomal sites
ZNF366	36883	10000	kept
ZNF37A	695	0	dropped: <10000 autosomal sites
ZNF382	17103	10000	kept
ZNF384	129484	10000	kept
ZNF391	1140	0	dropped: <10000 autosomal sites
ZNF394	5474	0	dropped: <10000 autosomal sites
ZNF395	20875	10000	kept
ZNF398	4608	0	dropped: <10000 autosomal sites
ZNF404	232	0	dropped: <10000 autosomal sites
ZNF407	2550	0	dropped: <10000 autosomal sites
ZNF41	1563	0	dropped: <10000 autosomal sites
ZNF410	3102	0	dropped: <10000 autosomal sites
ZNF416	36	0	dropped: <10000 autosomal sites
ZNF418	601	0	dropped: <10000 autosomal sites
ZNF419	223	0	dropped: <10000 autosomal sites
ZNF423	1498	0	dropped: <10000 autosomal sites
ZNF426	4415	0	dropped: <10000 autosomal sites
ZNF433	1019	0	dropped: <10000 autosomal sites
ZNF436	3596	0	dropped: <10000 autosomal sites
ZNF444	9821	0	dropped: <10000 autosomal sites
ZNF445	19	0	dropped: <10000 autosomal sites
ZNF449	60708	10000	kept
ZNF454	264	0	dropped: <10000 autosomal sites
ZNF467	24034	10000	kept
ZNF48	16845	10000	kept
ZNF486	14052	10000	kept
ZNF488	225	0	dropped: <10000 autosomal sites
ZNF490	8085	0	dropped: <10000 autosomal sites
ZNF493	38	0	dropped: <10000 autosomal sites
ZNF501	19	0	dropped: <10000 autosomal sites
ZNF502	457	0	dropped: <10000 autosomal sites
ZNF507	2784	0	dropped: <10000 autosomal sites
ZNF510	385	0	dropped: <10000 autosomal sites
ZNF512	2769	0	dropped: <10000 autosomal sites
ZNF512B	644	0	dropped: <10000 autosomal sites
ZNF513	2559	0	dropped: <10000 autosomal sites
